"(-1, -1, -1, -1, -1, -1, -1, -1, -1)","(3, 3, 4, 8, 37, 8, 50, 8, 40)" , 8
"(-1, -1, -1, -1, -1, -1, -1, -1, -1)","(3, 4, 8, 37, 8, 40, 37, 35, 34)" , 37
"(-1, -1, -1, -1, -1, -1, -1, -1, -1)","(3, 3, 4, 8, 37, 8, 40, 37, 35)" , 8
"(-1, -1, -1, -1, -1, -1, -1, -1, -1)","(3, 3, 4, 8, 37, 50, 8, 8, 40)" , 8
"(-1, -1, -1, -1, -1, -1, -1, -1, -1)","(3, 3, 4, 8, 37, 50, 8, 37, 50)" , 8
"(-1, -1, -1, -1, -1, -1, -1, -1, -1)","(3, 3, 4, 8, 37, 8, 50, 8, 37)" , 8
"(-1, -1, -1, -1, -1, -1, -1, -1, -1)","(3, 3, 4, 50, 8, 37, 50, 35, 8)" , 50
"(-1, -1, -1, -1, -1, -1, -1, -1, -1)","(3, 3, 3, 3, 4, 8, 37, 50, 8)" , 3
"(-1, -1, -1, -1, -1, -1, -1, -1, -1)","(3, 4, 8, 37, 8, 37, 8, 37, 8)" , 37
"(-1, -1, -1, -1, -1, -1, -1, -1, -1)","(3, 3, 4, 50, 8, 8, 37, 8, 40)" , 50
"(-1, -1, -1, -1, -1, -1, -1, -1, -1)","(3, 3, 3, 4, 8, 37, 8, 50, 8)" , 4
"(-1, -1, -1, -1, -1, -1, -1, -1, -1)","(3, 3, 4, 8, 37, 8, 37, 8, 37)" , 8
"(-1, -1, -1, -1, -1, -1, -1, -1, -1)","(3, 3, 3, 3, 4, 8, 37, 8, 50)" , 3
"(-1, -1, -1, -1, -1, -1, -1, -1, -1)","(3, 3, 3, 4, 8, 37, 50, 8, 8)" , 4
"(-1, -1, -1, -1, -1, -1, -1, -1, -1)","(3, 3, 4, 8, 37, 8, 37, 50, 8)" , 8
"(-1, -1, -1, -1, -1, -1, -1, -1, -1)","(3, 3, 4, 8, 37, 8, 8, 50, 8)" , 8
"(-1, -1, -1, -1, -1, -1, -1, -1, -1)","(3, 3, 4, 8, 37, 8, 50, 8, 8)" , 8
"(-1, -1, -1, -1, -1, -1, -1, -1, -1)","(3, 3, 3, 3, 4, 8, 37, 34, 8)" , 3
"(-1, -1, -1, -1, -1, -1, -1, -1, -1)","(3, 3, 3, 3, 4, 50, 8, 8, 37)" , 3
"(-1, -1, -1, -1, -1, -1, -1, -1, -1)","(3, 3, 3, 3, 4, 8, 50, 8, 37)" , 3
"(-1, -1, -1, -1, -1, -1, -1, -1, -1)","(3, 4, 8, 37, 8, 8, 40, 37, 35)" , 37
"(-1, -1, -1, -1, -1, -1, -1, -1, -1)","(3, 3, 3, 3, 4, 8, 37, 8, 40)" , 3
"(-1, -1, -1, -1, -1, -1, -1, -1, -1)","(3, 3, 4, 8, 37, 8, 37, 8, 50)" , 8
"(-1, -1, -1, -1, -1, -1, -1, -1, -1)","(3, 4, 8, 37, 8, 8, 37, 36, 40)" , 37
"(-1, -1, -1, -1, -1, -1, -1, -1, -1)","(3, 4, 8, 37, 50, 8, 37, 50, 35)" , 37
"(-1, -1, -1, -1, -1, -1, -1, -1, -1)","(3, 3, 4, 8, 37, 8, 37, 34, 8)" , 8
"(-1, -1, -1, -1, -1, -1, -1, -1, -1)","(3, 3, 4, 8, 37, 8, 37, 36, 8)" , 8
"(35, 34, 34, 34, 34, 34, 7, 5, 0)","(-2, -2, -2, -2, -2, -2, -2, -2, -2)" , -2
"(35, 34, 34, 34, 34, 34, 7, 5, 0)","(34, 34, 34, 34, 34, 7, 5, 0)" , 34
"(3, 3, 4, 8, 37, 8, 50, 8, 40)","(3, 4, 8, 37, 8, 50, 8, 40, 37)" , 37
"(3, 4, 8, 37, 8, 50, 8, 40, 37)","(4, 8, 37, 8, 50, 8, 40, 37, 35)" , 8
"(3, 4, 8, 37, 8, 50, 8, 40, 37)","(4, 8, 37, 8, 50, 8, 40, 37, 50)" , 8
"(4, 8, 37, 8, 50, 8, 40, 37, 35)","(8, 37, 8, 50, 8, 40, 37, 35, 34)" , 50
"(4, 8, 37, 8, 50, 8, 40, 37, 35)","(8, 37, 8, 50, 8, 40, 37, 35, 37)" , 50
"(8, 37, 8, 50, 8, 40, 37, 35, 34)","(37, 8, 50, 8, 40, 37, 35, 34, 41)" , 8
"(37, 8, 50, 8, 40, 37, 35, 34, 41)","(8, 50, 8, 40, 37, 35, 34, 41, 40)" , 40
"(8, 50, 8, 40, 37, 35, 34, 41, 40)","(50, 8, 40, 37, 35, 34, 41, 40, 37)" , 37
"(50, 8, 40, 37, 35, 34, 41, 40, 37)","(8, 40, 37, 35, 34, 41, 40, 37, 35)" , 35
"(8, 40, 37, 35, 34, 41, 40, 37, 35)","(40, 37, 35, 34, 41, 40, 37, 35, 34)" , 34
"(40, 37, 35, 34, 41, 40, 37, 35, 34)","(37, 35, 34, 41, 40, 37, 35, 34, 41)" , 41
"(37, 35, 34, 41, 40, 37, 35, 34, 41)","(35, 34, 41, 40, 37, 35, 34, 41, 44)" , 40
"(37, 35, 34, 41, 40, 37, 35, 34, 41)","(35, 34, 41, 40, 37, 35, 34, 41, 6)" , 40
"(35, 34, 41, 40, 37, 35, 34, 41, 44)","(34, 41, 40, 37, 35, 34, 41, 44, 6)" , 37
"(34, 41, 40, 37, 35, 34, 41, 44, 6)","(41, 40, 37, 35, 34, 41, 44, 6, 37)" , 35
"(34, 41, 40, 37, 35, 34, 41, 44, 6)","(41, 40, 37, 35, 34, 41, 44, 6, 7)" , 35
"(34, 41, 40, 37, 35, 34, 41, 44, 6)","(41, 40, 37, 35, 34, 41, 44, 6, 50)" , 35
"(34, 41, 40, 37, 35, 34, 41, 44, 6)","(41, 40, 37, 35, 34, 41, 44, 6, 15)" , 35
"(34, 41, 40, 37, 35, 34, 41, 44, 6)","(41, 40, 37, 35, 34, 41, 44, 6, 8)" , 35
"(34, 41, 40, 37, 35, 34, 41, 44, 6)","(41, 40, 37, 35, 34, 41, 44, 6, 34)" , 35
"(41, 40, 37, 35, 34, 41, 44, 6, 37)","(40, 37, 35, 34, 41, 44, 6, 37, 50)" , 34
"(41, 40, 37, 35, 34, 41, 44, 6, 37)","(40, 37, 35, 34, 41, 44, 6, 37, 36)" , 34
"(41, 40, 37, 35, 34, 41, 44, 6, 37)","(40, 37, 35, 34, 41, 44, 6, 37, 35)" , 34
"(40, 37, 35, 34, 41, 44, 6, 37, 50)","(37, 35, 34, 41, 44, 6, 37, 50, 35)" , 41
"(37, 35, 34, 41, 44, 6, 37, 50, 35)","(35, 34, 41, 44, 6, 37, 50, 35, 15)" , 44
"(37, 35, 34, 41, 44, 6, 37, 50, 35)","(35, 34, 41, 44, 6, 37, 50, 35, 7)" , 44
"(37, 35, 34, 41, 44, 6, 37, 50, 35)","(35, 34, 41, 44, 6, 37, 50, 35, 8)" , 44
"(37, 35, 34, 41, 44, 6, 37, 50, 35)","(35, 34, 41, 44, 6, 37, 50, 35, 34)" , 44
"(35, 34, 41, 44, 6, 37, 50, 35, 15)","(34, 41, 44, 6, 37, 50, 35, 15, 34)" , 6
"(35, 34, 41, 44, 6, 37, 50, 35, 15)","(34, 41, 44, 6, 37, 50, 35, 15, 8)" , 6
"(35, 34, 41, 44, 6, 37, 50, 35, 15)","(34, 41, 44, 6, 37, 50, 35, 15, 15)" , 6
"(34, 41, 44, 6, 37, 50, 35, 15, 34)","(41, 44, 6, 37, 50, 35, 15, 34, 15)" , 37
"(34, 41, 44, 6, 37, 50, 35, 15, 34)","(41, 44, 6, 37, 50, 35, 15, 34, 16)" , 37
"(34, 41, 44, 6, 37, 50, 35, 15, 34)","(41, 44, 6, 37, 50, 35, 15, 34, 35)" , 37
"(34, 41, 44, 6, 37, 50, 35, 15, 34)","(41, 44, 6, 37, 50, 35, 15, 34, 34)" , 37
"(41, 44, 6, 37, 50, 35, 15, 34, 15)","(44, 6, 37, 50, 35, 15, 34, 15, 34)" , 50
"(44, 6, 37, 50, 35, 15, 34, 15, 34)","(6, 37, 50, 35, 15, 34, 15, 34, 34)" , 35
"(44, 6, 37, 50, 35, 15, 34, 15, 34)","(6, 37, 50, 35, 15, 34, 15, 34, 8)" , 35
"(6, 37, 50, 35, 15, 34, 15, 34, 34)","(37, 50, 35, 15, 34, 15, 34, 34, 35)" , 15
"(37, 50, 35, 15, 34, 15, 34, 34, 35)","(50, 35, 15, 34, 15, 34, 34, 35, 16)" , 34
"(50, 35, 15, 34, 15, 34, 34, 35, 16)","(35, 15, 34, 15, 34, 34, 35, 16, 16)" , 15
"(35, 15, 34, 15, 34, 34, 35, 16, 16)","(15, 34, 15, 34, 34, 35, 16, 16, 7)" , 34
"(15, 34, 15, 34, 34, 35, 16, 16, 7)","(34, 15, 34, 34, 35, 16, 16, 7, 44)" , 34
"(34, 15, 34, 34, 35, 16, 16, 7, 44)","(15, 34, 34, 35, 16, 16, 7, 44, 6)" , 35
"(15, 34, 34, 35, 16, 16, 7, 44, 6)","(34, 34, 35, 16, 16, 7, 44, 6, 15)" , 16
"(15, 34, 34, 35, 16, 16, 7, 44, 6)","(34, 34, 35, 16, 16, 7, 44, 6, 8)" , 16
"(15, 34, 34, 35, 16, 16, 7, 44, 6)","(34, 34, 35, 16, 16, 7, 44, 6, 52)" , 16
"(34, 34, 35, 16, 16, 7, 44, 6, 15)","(34, 35, 16, 16, 7, 44, 6, 15, 8)" , 16
"(34, 35, 16, 16, 7, 44, 6, 15, 8)","(35, 16, 16, 7, 44, 6, 15, 8, 37)" , 7
"(35, 16, 16, 7, 44, 6, 15, 8, 37)","(16, 16, 7, 44, 6, 15, 8, 37, 8)" , 44
"(35, 16, 16, 7, 44, 6, 15, 8, 37)","(16, 16, 7, 44, 6, 15, 8, 37, 34)" , 44
"(35, 16, 16, 7, 44, 6, 15, 8, 37)","(16, 16, 7, 44, 6, 15, 8, 37, 37)" , 44
"(35, 16, 16, 7, 44, 6, 15, 8, 37)","(16, 16, 7, 44, 6, 15, 8, 37, 15)" , 44
