Id; Source; Target; Weight
"(-1, -1, -1, -1, -1, -1, -1, -1, -1)";"(-1, -1, -1, -1, -1, -1, -1, -1, -1)";"(3, 3, 4, 8, 37, 8, 50, 8, 40)"; 22
"(-1, -1, -1, -1, -1, -1, -1, -1, -1)";"(-1, -1, -1, -1, -1, -1, -1, -1, -1)";"(3, 4, 8, 37, 8, 40, 37, 35, 34)"; 5
"(-1, -1, -1, -1, -1, -1, -1, -1, -1)";"(-1, -1, -1, -1, -1, -1, -1, -1, -1)";"(3, 3, 4, 8, 37, 8, 40, 37, 35)"; 2
"(-1, -1, -1, -1, -1, -1, -1, -1, -1)";"(-1, -1, -1, -1, -1, -1, -1, -1, -1)";"(3, 3, 4, 8, 37, 50, 8, 8, 40)"; 57
"(-1, -1, -1, -1, -1, -1, -1, -1, -1)";"(-1, -1, -1, -1, -1, -1, -1, -1, -1)";"(3, 3, 4, 8, 37, 50, 8, 37, 50)"; 6
"(-1, -1, -1, -1, -1, -1, -1, -1, -1)";"(-1, -1, -1, -1, -1, -1, -1, -1, -1)";"(3, 3, 4, 8, 37, 8, 50, 8, 37)"; 4
"(-1, -1, -1, -1, -1, -1, -1, -1, -1)";"(-1, -1, -1, -1, -1, -1, -1, -1, -1)";"(3, 3, 4, 50, 8, 37, 50, 35, 8)"; 1
"(-1, -1, -1, -1, -1, -1, -1, -1, -1)";"(-1, -1, -1, -1, -1, -1, -1, -1, -1)";"(3, 3, 3, 3, 4, 8, 37, 50, 8)"; 1
"(-1, -1, -1, -1, -1, -1, -1, -1, -1)";"(-1, -1, -1, -1, -1, -1, -1, -1, -1)";"(3, 4, 8, 37, 8, 37, 8, 37, 8)"; 1
"(-1, -1, -1, -1, -1, -1, -1, -1, -1)";"(-1, -1, -1, -1, -1, -1, -1, -1, -1)";"(3, 3, 4, 50, 8, 8, 37, 8, 40)"; 1
"(35, 34, 34, 34, 34, 34, 7, 5, 0)";"(35, 34, 34, 34, 34, 34, 7, 5, 0)";"(-2, -2, -2, -2, -2, -2, -2, -2, -2)"; 40
"(3, 3, 4, 8, 37, 8, 50, 8, 40)";"(3, 3, 4, 8, 37, 8, 50, 8, 40)";"(3, 4, 8, 37, 8, 50, 8, 40, 37)"; 22
"(3, 4, 8, 37, 8, 50, 8, 40, 37)";"(3, 4, 8, 37, 8, 50, 8, 40, 37)";"(4, 8, 37, 8, 50, 8, 40, 37, 35)"; 22
"(4, 8, 37, 8, 50, 8, 40, 37, 35)";"(4, 8, 37, 8, 50, 8, 40, 37, 35)";"(8, 37, 8, 50, 8, 40, 37, 35, 34)"; 22
"(8, 37, 8, 50, 8, 40, 37, 35, 34)";"(8, 37, 8, 50, 8, 40, 37, 35, 34)";"(37, 8, 50, 8, 40, 37, 35, 34, 41)"; 22
"(37, 8, 50, 8, 40, 37, 35, 34, 41)";"(37, 8, 50, 8, 40, 37, 35, 34, 41)";"(8, 50, 8, 40, 37, 35, 34, 41, 40)"; 22
"(8, 50, 8, 40, 37, 35, 34, 41, 40)";"(8, 50, 8, 40, 37, 35, 34, 41, 40)";"(50, 8, 40, 37, 35, 34, 41, 40, 37)"; 22
"(50, 8, 40, 37, 35, 34, 41, 40, 37)";"(50, 8, 40, 37, 35, 34, 41, 40, 37)";"(8, 40, 37, 35, 34, 41, 40, 37, 35)"; 22
"(8, 40, 37, 35, 34, 41, 40, 37, 35)";"(8, 40, 37, 35, 34, 41, 40, 37, 35)";"(40, 37, 35, 34, 41, 40, 37, 35, 34)"; 97
"(40, 37, 35, 34, 41, 40, 37, 35, 34)";"(40, 37, 35, 34, 41, 40, 37, 35, 34)";"(37, 35, 34, 41, 40, 37, 35, 34, 41)"; 100
"(37, 35, 34, 41, 40, 37, 35, 34, 41)";"(37, 35, 34, 41, 40, 37, 35, 34, 41)";"(35, 34, 41, 40, 37, 35, 34, 41, 44)"; 99
"(37, 35, 34, 41, 40, 37, 35, 34, 41)";"(37, 35, 34, 41, 40, 37, 35, 34, 41)";"(35, 34, 41, 40, 37, 35, 34, 41, 6)"; 1
"(35, 34, 41, 40, 37, 35, 34, 41, 44)";"(35, 34, 41, 40, 37, 35, 34, 41, 44)";"(34, 41, 40, 37, 35, 34, 41, 44, 6)"; 99
"(34, 41, 40, 37, 35, 34, 41, 44, 6)";"(34, 41, 40, 37, 35, 34, 41, 44, 6)";"(41, 40, 37, 35, 34, 41, 44, 6, 37)"; 80
"(34, 41, 40, 37, 35, 34, 41, 44, 6)";"(34, 41, 40, 37, 35, 34, 41, 44, 6)";"(41, 40, 37, 35, 34, 41, 44, 6, 7)"; 5
"(34, 41, 40, 37, 35, 34, 41, 44, 6)";"(34, 41, 40, 37, 35, 34, 41, 44, 6)";"(41, 40, 37, 35, 34, 41, 44, 6, 50)"; 3
"(34, 41, 40, 37, 35, 34, 41, 44, 6)";"(34, 41, 40, 37, 35, 34, 41, 44, 6)";"(41, 40, 37, 35, 34, 41, 44, 6, 15)"; 9
"(34, 41, 40, 37, 35, 34, 41, 44, 6)";"(34, 41, 40, 37, 35, 34, 41, 44, 6)";"(41, 40, 37, 35, 34, 41, 44, 6, 8)"; 2
"(41, 40, 37, 35, 34, 41, 44, 6, 37)";"(41, 40, 37, 35, 34, 41, 44, 6, 37)";"(40, 37, 35, 34, 41, 44, 6, 37, 50)"; 80
"(40, 37, 35, 34, 41, 44, 6, 37, 50)";"(40, 37, 35, 34, 41, 44, 6, 37, 50)";"(37, 35, 34, 41, 44, 6, 37, 50, 35)"; 80
"(37, 35, 34, 41, 44, 6, 37, 50, 35)";"(37, 35, 34, 41, 44, 6, 37, 50, 35)";"(35, 34, 41, 44, 6, 37, 50, 35, 15)"; 68
"(37, 35, 34, 41, 44, 6, 37, 50, 35)";"(37, 35, 34, 41, 44, 6, 37, 50, 35)";"(35, 34, 41, 44, 6, 37, 50, 35, 7)"; 2
"(37, 35, 34, 41, 44, 6, 37, 50, 35)";"(37, 35, 34, 41, 44, 6, 37, 50, 35)";"(35, 34, 41, 44, 6, 37, 50, 35, 8)"; 10
"(35, 34, 41, 44, 6, 37, 50, 35, 15)";"(35, 34, 41, 44, 6, 37, 50, 35, 15)";"(34, 41, 44, 6, 37, 50, 35, 15, 34)"; 6
"(35, 34, 41, 44, 6, 37, 50, 35, 15)";"(35, 34, 41, 44, 6, 37, 50, 35, 15)";"(34, 41, 44, 6, 37, 50, 35, 15, 8)"; 54
"(35, 34, 41, 44, 6, 37, 50, 35, 15)";"(35, 34, 41, 44, 6, 37, 50, 35, 15)";"(34, 41, 44, 6, 37, 50, 35, 15, 15)"; 8
"(34, 41, 44, 6, 37, 50, 35, 15, 34)";"(34, 41, 44, 6, 37, 50, 35, 15, 34)";"(41, 44, 6, 37, 50, 35, 15, 34, 15)"; 6
"(41, 44, 6, 37, 50, 35, 15, 34, 15)";"(41, 44, 6, 37, 50, 35, 15, 34, 15)";"(44, 6, 37, 50, 35, 15, 34, 15, 34)"; 6
"(44, 6, 37, 50, 35, 15, 34, 15, 34)";"(44, 6, 37, 50, 35, 15, 34, 15, 34)";"(6, 37, 50, 35, 15, 34, 15, 34, 34)"; 4
"(44, 6, 37, 50, 35, 15, 34, 15, 34)";"(44, 6, 37, 50, 35, 15, 34, 15, 34)";"(6, 37, 50, 35, 15, 34, 15, 34, 8)"; 2
"(6, 37, 50, 35, 15, 34, 15, 34, 34)";"(6, 37, 50, 35, 15, 34, 15, 34, 34)";"(37, 50, 35, 15, 34, 15, 34, 34, 35)"; 4
"(37, 50, 35, 15, 34, 15, 34, 34, 35)";"(37, 50, 35, 15, 34, 15, 34, 34, 35)";"(50, 35, 15, 34, 15, 34, 34, 35, 16)"; 4
"(50, 35, 15, 34, 15, 34, 34, 35, 16)";"(50, 35, 15, 34, 15, 34, 34, 35, 16)";"(35, 15, 34, 15, 34, 34, 35, 16, 16)"; 4
"(35, 15, 34, 15, 34, 34, 35, 16, 16)";"(35, 15, 34, 15, 34, 34, 35, 16, 16)";"(15, 34, 15, 34, 34, 35, 16, 16, 7)"; 4
"(15, 34, 15, 34, 34, 35, 16, 16, 7)";"(15, 34, 15, 34, 34, 35, 16, 16, 7)";"(34, 15, 34, 34, 35, 16, 16, 7, 44)"; 4
"(34, 15, 34, 34, 35, 16, 16, 7, 44)";"(34, 15, 34, 34, 35, 16, 16, 7, 44)";"(15, 34, 34, 35, 16, 16, 7, 44, 6)"; 4
"(15, 34, 34, 35, 16, 16, 7, 44, 6)";"(15, 34, 34, 35, 16, 16, 7, 44, 6)";"(34, 34, 35, 16, 16, 7, 44, 6, 15)"; 1
"(15, 34, 34, 35, 16, 16, 7, 44, 6)";"(15, 34, 34, 35, 16, 16, 7, 44, 6)";"(34, 34, 35, 16, 16, 7, 44, 6, 8)"; 3
"(34, 34, 35, 16, 16, 7, 44, 6, 15)";"(34, 34, 35, 16, 16, 7, 44, 6, 15)";"(34, 35, 16, 16, 7, 44, 6, 15, 8)"; 2
"(34, 35, 16, 16, 7, 44, 6, 15, 8)";"(34, 35, 16, 16, 7, 44, 6, 15, 8)";"(35, 16, 16, 7, 44, 6, 15, 8, 37)"; 9
"(35, 16, 16, 7, 44, 6, 15, 8, 37)";"(35, 16, 16, 7, 44, 6, 15, 8, 37)";"(16, 16, 7, 44, 6, 15, 8, 37, 8)"; 7
"(35, 16, 16, 7, 44, 6, 15, 8, 37)";"(35, 16, 16, 7, 44, 6, 15, 8, 37)";"(16, 16, 7, 44, 6, 15, 8, 37, 34)"; 1
"(35, 16, 16, 7, 44, 6, 15, 8, 37)";"(35, 16, 16, 7, 44, 6, 15, 8, 37)";"(16, 16, 7, 44, 6, 15, 8, 37, 37)"; 1
"(16, 16, 7, 44, 6, 15, 8, 37, 8)";"(16, 16, 7, 44, 6, 15, 8, 37, 8)";"(16, 7, 44, 6, 15, 8, 37, 8, 37)"; 32
"(16, 7, 44, 6, 15, 8, 37, 8, 37)";"(16, 7, 44, 6, 15, 8, 37, 8, 37)";"(7, 44, 6, 15, 8, 37, 8, 37, 34)"; 31
"(16, 7, 44, 6, 15, 8, 37, 8, 37)";"(16, 7, 44, 6, 15, 8, 37, 8, 37)";"(7, 44, 6, 15, 8, 37, 8, 37, 8)"; 1
"(7, 44, 6, 15, 8, 37, 8, 37, 34)";"(7, 44, 6, 15, 8, 37, 8, 37, 34)";"(44, 6, 15, 8, 37, 8, 37, 34, 8)"; 29
"(7, 44, 6, 15, 8, 37, 8, 37, 34)";"(7, 44, 6, 15, 8, 37, 8, 37, 34)";"(44, 6, 15, 8, 37, 8, 37, 34, 16)"; 1
"(7, 44, 6, 15, 8, 37, 8, 37, 34)";"(7, 44, 6, 15, 8, 37, 8, 37, 34)";"(44, 6, 15, 8, 37, 8, 37, 34, 34)"; 2
"(44, 6, 15, 8, 37, 8, 37, 34, 8)";"(44, 6, 15, 8, 37, 8, 37, 34, 8)";"(6, 15, 8, 37, 8, 37, 34, 8, 37)"; 29
"(6, 15, 8, 37, 8, 37, 34, 8, 37)";"(6, 15, 8, 37, 8, 37, 34, 8, 37)";"(15, 8, 37, 8, 37, 34, 8, 37, 34)"; 28
"(6, 15, 8, 37, 8, 37, 34, 8, 37)";"(6, 15, 8, 37, 8, 37, 34, 8, 37)";"(15, 8, 37, 8, 37, 34, 8, 37, 35)"; 1
"(15, 8, 37, 8, 37, 34, 8, 37, 34)";"(15, 8, 37, 8, 37, 34, 8, 37, 34)";"(8, 37, 8, 37, 34, 8, 37, 34, 34)"; 11
"(15, 8, 37, 8, 37, 34, 8, 37, 34)";"(15, 8, 37, 8, 37, 34, 8, 37, 34)";"(8, 37, 8, 37, 34, 8, 37, 34, 8)"; 19
"(8, 37, 8, 37, 34, 8, 37, 34, 34)";"(8, 37, 8, 37, 34, 8, 37, 34, 34)";"(37, 8, 37, 34, 8, 37, 34, 34, 34)"; 10
"(8, 37, 8, 37, 34, 8, 37, 34, 34)";"(8, 37, 8, 37, 34, 8, 37, 34, 34)";"(37, 8, 37, 34, 8, 37, 34, 34, 16)"; 1
"(37, 8, 37, 34, 8, 37, 34, 34, 34)";"(37, 8, 37, 34, 8, 37, 34, 34, 34)";"(8, 37, 34, 8, 37, 34, 34, 34, 34)"; 8
"(37, 8, 37, 34, 8, 37, 34, 34, 34)";"(37, 8, 37, 34, 8, 37, 34, 34, 34)";"(8, 37, 34, 8, 37, 34, 34, 34, 16)"; 2
"(8, 37, 34, 8, 37, 34, 34, 34, 34)";"(8, 37, 34, 8, 37, 34, 34, 34, 34)";"(37, 34, 8, 37, 34, 34, 34, 34, 16)"; 8
"(37, 34, 8, 37, 34, 34, 34, 34, 16)";"(37, 34, 8, 37, 34, 34, 34, 34, 16)";"(34, 8, 37, 34, 34, 34, 34, 16, 7)"; 10
"(34, 8, 37, 34, 34, 34, 34, 16, 7)";"(34, 8, 37, 34, 34, 34, 34, 16, 7)";"(8, 37, 34, 34, 34, 34, 16, 7, 6)"; 10
"(8, 37, 34, 34, 34, 34, 16, 7, 6)";"(8, 37, 34, 34, 34, 34, 16, 7, 6)";"(37, 34, 34, 34, 34, 16, 7, 6, 30)"; 11
"(8, 37, 34, 34, 34, 34, 16, 7, 6)";"(8, 37, 34, 34, 34, 34, 16, 7, 6)";"(37, 34, 34, 34, 34, 16, 7, 6, 8)"; 1
"(37, 34, 34, 34, 34, 16, 7, 6, 30)";"(37, 34, 34, 34, 34, 16, 7, 6, 30)";"(34, 34, 34, 34, 16, 7, 6, 30, 34)"; 13
"(34, 34, 34, 34, 16, 7, 6, 30, 34)";"(34, 34, 34, 34, 16, 7, 6, 30, 34)";"(34, 34, 34, 16, 7, 6, 30, 34, 7)"; 16
"(34, 34, 34, 16, 7, 6, 30, 34, 7)";"(34, 34, 34, 16, 7, 6, 30, 34, 7)";"(34, 34, 16, 7, 6, 30, 34, 7, 52)"; 70
"(34, 34, 34, 16, 7, 6, 30, 34, 7)";"(34, 34, 34, 16, 7, 6, 30, 34, 7)";"(34, 34, 16, 7, 6, 30, 34, 7, 6)"; 4
"(34, 34, 16, 7, 6, 30, 34, 7, 52)";"(34, 34, 16, 7, 6, 30, 34, 7, 52)";"(34, 16, 7, 6, 30, 34, 7, 52, 6)"; 72
"(34, 16, 7, 6, 30, 34, 7, 52, 6)";"(34, 16, 7, 6, 30, 34, 7, 52, 6)";"(16, 7, 6, 30, 34, 7, 52, 6, 8)"; 67
"(34, 16, 7, 6, 30, 34, 7, 52, 6)";"(34, 16, 7, 6, 30, 34, 7, 52, 6)";"(16, 7, 6, 30, 34, 7, 52, 6, 30)"; 3
"(34, 16, 7, 6, 30, 34, 7, 52, 6)";"(34, 16, 7, 6, 30, 34, 7, 52, 6)";"(16, 7, 6, 30, 34, 7, 52, 6, 37)"; 2
"(34, 16, 7, 6, 30, 34, 7, 52, 6)";"(34, 16, 7, 6, 30, 34, 7, 52, 6)";"(16, 7, 6, 30, 34, 7, 52, 6, 34)"; 1
"(16, 7, 6, 30, 34, 7, 52, 6, 8)";"(16, 7, 6, 30, 34, 7, 52, 6, 8)";"(7, 6, 30, 34, 7, 52, 6, 8, 37)"; 66
"(16, 7, 6, 30, 34, 7, 52, 6, 8)";"(16, 7, 6, 30, 34, 7, 52, 6, 8)";"(7, 6, 30, 34, 7, 52, 6, 8, 8)"; 2
"(7, 6, 30, 34, 7, 52, 6, 8, 37)";"(7, 6, 30, 34, 7, 52, 6, 8, 37)";"(6, 30, 34, 7, 52, 6, 8, 37, 15)"; 62
"(7, 6, 30, 34, 7, 52, 6, 8, 37)";"(7, 6, 30, 34, 7, 52, 6, 8, 37)";"(6, 30, 34, 7, 52, 6, 8, 37, 35)"; 3
"(7, 6, 30, 34, 7, 52, 6, 8, 37)";"(7, 6, 30, 34, 7, 52, 6, 8, 37)";"(6, 30, 34, 7, 52, 6, 8, 37, 8)"; 2
"(7, 6, 30, 34, 7, 52, 6, 8, 37)";"(7, 6, 30, 34, 7, 52, 6, 8, 37)";"(6, 30, 34, 7, 52, 6, 8, 37, 34)"; 1
"(6, 30, 34, 7, 52, 6, 8, 37, 15)";"(6, 30, 34, 7, 52, 6, 8, 37, 15)";"(30, 34, 7, 52, 6, 8, 37, 15, 37)"; 16
"(6, 30, 34, 7, 52, 6, 8, 37, 15)";"(6, 30, 34, 7, 52, 6, 8, 37, 15)";"(30, 34, 7, 52, 6, 8, 37, 15, 8)"; 46
"(30, 34, 7, 52, 6, 8, 37, 15, 37)";"(30, 34, 7, 52, 6, 8, 37, 15, 37)";"(34, 7, 52, 6, 8, 37, 15, 37, 34)"; 11
"(30, 34, 7, 52, 6, 8, 37, 15, 37)";"(30, 34, 7, 52, 6, 8, 37, 15, 37)";"(34, 7, 52, 6, 8, 37, 15, 37, 16)"; 5
